[2025-04-05 16:07:33.636289] QUERY: как настроить КИС? | INTENT: документация | CATEGORY: вопросы пользователей | ACTION: Ответ из статьи
[2025-04-05 16:07:42.527633] QUERY: как настроить ЕИС? | INTENT: документация | CATEGORY: вопросы пользователей | ACTION: Ответ из статьи
[2025-04-05 16:19:38.269376] QUERY: ЙЦХ | INTENT: документация | CATEGORY: unknown | ACTION: not found
[2025-04-05 16:36:36.813675] QUERY: гойда! | INTENT: документация | CATEGORY: вопросы пользователей | ACTION: Ответ из статьи
[2025-04-05 16:36:45.559313] QUERY: сво | INTENT: документация | CATEGORY: вопросы пользователей | ACTION: Ответ из статьи
[2025-04-05 16:43:07.967332] QUERY: как создать заказчика | INTENT: документация | CATEGORY: вопросы пользователей | ACTION: Ответ из статьи
[2025-04-05 16:59:58.668194] QUERY: как создать заказчика | INTENT: документация | CATEGORY: вопросы пользователей | ACTION: Ответ из наиболее релевантной статьи
[2025-04-05 17:00:09.681815] QUERY: купить | INTENT: документация | CATEGORY: поиск товара | ACTION: Прямое совпадение по категории
[2025-04-05 17:06:54.200321] QUERY: КУПИТЬ | INTENT: документация | CATEGORY: поиск товара | ACTION: Прямое совпадение по категории
[2025-04-05 17:07:13.274881] QUERY: купить | INTENT: документация | CATEGORY: поиск товара | ACTION: Прямое совпадение по категории
[2025-04-05 17:09:39.729794] QUERY: купить | INTENT: документация | CATEGORY: поиск товара | ACTION: Прямое совпадение по категории
[2025-04-05 17:10:56.761193] QUERY: проекта неактуальному | INTENT: документация | CATEGORY: вопросы пользователей | ACTION: Ответ из статьи
[2025-04-05 17:11:17.977622] QUERY: цикл | INTENT: документация | CATEGORY: вопросы пользователей | ACTION: Ответ из статьи
[2025-04-05 17:58:02.174145] QUERY: купить | INTENT: документация | CATEGORY: поиск товара | ACTION: Прямое совпадение по категории
[2025-04-05 17:59:01.195366] QUERY: как мне прикрепить МЧД | INTENT: документация | CATEGORY: поиск товара | ACTION: Прямое совпадение по категории
[2025-04-06 11:57:11.920259] QUERY: купить | INTENT: документация | CATEGORY: поиск товара | ACTION: Похожая категория (схожесть: 0.25)
